id,node_type,internet_access,air_conditioning,hot_water,swimming_pool,laundry,kitchen,breakfast,toilets,wheelchair,check_in,check_out,rooms,beds
1873781528,node,wlan,,,,,,,,,,,,
1873830687,node,,,,,,,,,,,,,
1873830690,node,,,,,,,,,,,,,
1873830703,node,wlan,,,,,,,,,,,,
1873830705,node,wlan,,,,,,,,,,,,
1873830710,node,,,,,,,,,no,,,,
1873830725,node,,,,,,,,,,,,,
1873830739,node,,,,,,,,,,,,,
1873895266,node,,,,,,,,,,,,,
1873895278,node,,,,,,,,,,,,,
1873895279,node,,,,,,,,,,,,,
1873895280,node,,,,,,,,,,,,,
1873895295,node,,,,,,,,,,,,,
1873895296,node,,,,,,,,,,,,,
1873895301,node,,,,,,,,,,,,,
1873895322,node,,,,,,,,,,,,,
1873895330,node,,,,,,,,,,,,,
1873895336,node,,,,,,,,,,,,,
1873895337,node,,,,,,,,,,,,,
1874145114,node,,,,,,,,,,,,,
1882486546,node,,,,,,,,,,,,,
1883438355,node,,,,,,,,,,,,,
1890671895,node,,,,,,,,,,,,,
1891708819,node,,,,,,,,,,,,,
1901368190,node,,,,,,,,,,,,,
1901369198,node,,,,,,,,,,,,,
1906504776,node,,,,,,,,,,,,,
1908199897,node,,,,,,,,,,,,,
1922132288,node,,,,,,,,,,,,,
1926201953,node,,,,,,,,,,,,,
1926202877,node,,,,,,,,,,,,,
1926227394,node,,,,,,,,,,,,,
1927548939,node,,,,,,,,,,,,,
1927576680,node,,,,,,,,,,,,,
1927721686,node,,,,,,,,,,,,,
1929611307,node,,,,,,,,,,,,,
1929611308,node,,,,,,,,,,,,,
1929856756,node,,,,,,,,,,,,,
1929856884,node,,,,,,,,,,,,,
1929856888,node,,,,,,,,,,,,,
1929859519,node,,,,,,,,,,,,,
1929859521,node,,,,,,,,,,,,,
1929863771,node,,,,,,,,,,,,,
1930121942,node,,,,,,,,,,,,,
1930730618,node,,,,,,,,,,,,,
1931745796,node,,,,,,,,,,,,,
1940153863,node,,,,,,,,,,,,,
1941503427,node,,,,,,,,,,,,,
1942092142,node,,,,,,,,,,,,,
1942094451,node,,,,,,,,,,,,,
